id,title,authors,journal,month,year,publication_type
4833,ABSTRACT Precise Interprocedural Analysis using Random Interpretation,"Sumit Gulwani, George C. Necula",,,,
4834,ABSTRACT Precise Interprocedural Analysis using Random Interpretation,"Sumit Gulwani, George C. Necula",,,,
4835,Precise interprocedural analysis using random interpretation.,"Sumit Gulwani, George C. Necula",,,2005,inproceedings
4836,Accessing Information and Services on the DAML-Enabled Web,"Grit Denker, Jerry R. Hobbs, David Martin, Srini Narayanan, Richard Waldinger",,,,
4837,ABSTRACT Accessing Information and Services on the DAML-Enabled Web,"Grit Denker, Jerry R. Hobbs, David Martin, Srini Narayanan, Richard Waldinger",,,,
4838,Accessing Information and Services on the DAML-Enabled Web.,"Grit Denker, Jerry R. Hobbs, David L. Martin, Srini Narayanan, Richard J. Waldinger",,,2001,inproceedings
4839,ABSTRACT Accessing Information and Services on the DAML-Enabled Web,"Grit Denker, Jerry R. Hobbs, David Martin, Srini Narayanan, Richard Waldinger",,,,
4840,Accessing Information and Services on the DAML-Enabled Web,"Grit Denker, Jerry R. Hobbs, David Martin, Srini Narayanan, Richard Waldinger",,,,
4841,ARTIFICIAL INTELLIGENCE A Mechanical Solution of Schubert's Steamroller by Many-Sorted Resolution,"Christoph Walther, Abstracf I",,,,
4842,A Mechanical Solution of Schubert's Steamroller by Many-Sorted Resolution.,Christoph Walther,Artif. Intell.,,1985,article
4843,A Mechanical Solution of Schubert's Steamroller by Many-Sorted Resolution.,Christoph Walther,,,1984,inproceedings
4844,Towards Performance Guarantees for Emergent Behavior.,"Damian M. Lyons, Ronald C. Arkin",,,2004,inproceedings
4845,Towards Performance Guarantees For Emergent Behavior,"Damian M. Lyons, Ronald C. Arkin",,,,
4846,Towards Performance Guarantees For Emergent Behavior,"Damian M. Lyons, Ronald C. Arkin",,,,
4847,Staged Self-Assembly: Nanomanufacture of Arbitrary Shapes with O(1) Glues,"Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",,,,
4848,Staged Self-Assembly: Nanomanufacture of Arbitrary Shapes with O(1) Glues,"Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",,,,
4849,Staged Self-Assembly: Nanomanufacture of Arbitrary Shapes with O(1) Glues,"Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",,,,
4850,Staged Self-assembly: Nanomanufacture of Arbitrary Shapes with O (1) Glues.,"Erik D. Demaine, Martin L. Demaine, Sndor P. Fekete, Mashhood Ishaque, Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",,,2007,inproceedings
4851,Staged Self-Assembly: Nanomanufacture of Arbitrary Shapes with O(1) Glues,"Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",,,,
4852,Staged Self-Assembly:Nanomanufacture of Arbitrary Shapes with O(1) Glues,"Erik D. Demaine, Martin L. Demaine, Sndor P. Fekete, Mashhood Ishaque, Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",CoRR,,2008,article
4853,Staged self-assembly: nanomanufacture of arbitrary shapes with O (1) glues.,"Erik D. Demaine, Martin L. Demaine, Sndor P. Fekete, Mashhood Ishaque, Eynat Rafalin, Robert T. Schweller, Diane L. Souvaine",Natural Computing,,2008,article
4854,Temporal Range Registration for Unmanned Ground and Aerial Vehicles.,"Raj Madhavan, Tsai Hong, Elena Messina",,,2004,inproceedings
4855,Temporal Range Registration for Unmanned Ground and Aerial Vehicles,"R. Madhavan, T. Hong, E. Messina",,,,
4856,Temporal Range Registration for Unmanned Ground and Aerial Vehicles.,"Rad Madhavan, Tsai Hong, Elena Messina",Journal of Intelligent and Robotic Systems,,2005,article
4857,RE-COLORING IMAGES FOR GAMUTS OF,"Karl Rasche, Advisor Dr. Robert Geist",,,2005,
4858,Re-coloring Images for Gamuts of Lower Dimension Abstract,"Karl Rasche, Robert Geist, James Westall",,,,
4859,Re-coloring Images for Gamuts of Lower Dimension,"Karl Rasche, Robert Geist, James Westall",,,,
4860,Re-coloring Images for Gamuts of Lower Dimension,"Karl Rasche, Robert Geist, James Westall",,,,
4861,Re-coloring Images for Gamuts of Lower Dimension Abstract,"Karl Rasche, Robert Geist, James Westall",,,,
4862,Re-coloring Images for Gamuts of Lower Dimension.,"Karl Rasche, Robert Geist, James Westall",Comput. Graph. Forum,,2005,article
4863,Word-Sense Disambiguation Using Statistical Models of Roget's Categories Trained on Large Corpora,David Yarowsky,,,,
4864,Word-Sense Disambiguation Using Statistical Models of Roget's Categories Trained on Large Corpora,David Yarowsky,,,,
4865,Using Word-Sense Disambiguation Statistical Models of Roget's Categories Trained on Large Corpora,David Yarowsky,,,,
4866,Using Word-Sense Disambiguation Statistical Models of Roget's Categories Trained on Large Corpora,David Yarowsky,,,,
4867,Word-Sense Disambiguation Using Statistical Models of Roget's Categories Trained on Large Corpora.,David Yarowsky,,,1992,inproceedings
4868,REFLICS: Real-time flow imaging and classification system.,"Sadahiro Iwamoto, David M. Checkley Jr., Mohan M. Trivedi",Mach. Vis. Appl.,,2001,article
4869,Applications c  Springer-Verlag 2001 REFLICS: Real-time flow imaging and classification system,"Sadahiro Iwamoto, David M. Checkley, Mohan M. Trivedi",,,,
4870,REFLICS: Real-Time Flow Imaging and Classification System.,"Sadahiro Iwamoto, Mohan M. Trivedi, David M. Checkley Jr.",,,2000,inproceedings
4871,"Measuring shape: ellipticity, rectangularity, and triangularity.",Paul L. Rosin,Mach. Vis. Appl.,,2003,article
4872,"Measuring Shape: Ellipticity, Rectangularity, and Triangularity",Paul L. Rosin,,,,
4873,"Measuring Shape: Ellipticity, Rectangularity, and Triangularity",Paul L. Rosin,,,,
4874,"Measuring Shape: Ellipticity, Rectangularity, and Triangularity.",Paul L. Rosin,,,2000,inproceedings
4875,Recovery in Distributed Systems Using Optimistic Message Logging,"Checkpointing, David B. Johnson, Willy Zwaenepoel",,,,
4876,Recovery in Distributed Systems Using Optimistic Message Logging and Checkpointing*,David B. Johnsonandwillyzwaenepoel,,,1989,
4877,Recovery in Distributed Systems Using Optimistic Message Logging,"Checkpointing, David B. Johnson, Willy Zwaenepoel",,,,
4878,Recovery in Distributed Systems Using Optimistic Message Logging,"Checkpointing, David B. Johnson, Willy Zwaenepoel",,,,
4879,Recovery in Distributed Systems Using Optimistic Message Logging and Checkpointing.,"David B. Johnson, Willy Zwaenepoel",J. Algorithms,,1990,article
4880,Recovery in Distributed Systems Using Optimistic Message Logging and Checkpointing,"David B. Johnson, Willy Zwaenepoel",,,,
4881,Recovery in Distributed Systems Using Asynchronous Message Logging and Checkpointing.,"David B. Johnson, Willy Zwaenepoel",,,1988,inproceedings
4882,Linear 2D Localization and Mapping for Single and Multiple Robot Scenarios.,"Frank Dellaert, Ashley W. Stroupe",,,2002,inproceedings
4883,Linear 2D Localization and Mapping for Single and Multiple Robot Scenarios,"Frank Dellaert, Ashley W. Stroupe",,,,
4884,Linear 2D Localization and Mapping for Single and Multiple Robot Scenarios,"Frank Dellaert, Ashley W. Stroupe",,,,
4885,ABSTRACT Trading Structure for Randomness in Wireless Opportunistic Routing,"Szymon Chachulski, Michael Jennings, Sachin Katti, Dina Katabi",,,,
4886,Trading Structure for Randomness in Wireless Opportunistic Routing,"Szymon Chachulski, Michael Jennings, Dina Katabi, Szymon Chachulski, Michael Jennings, Sachin Katti, Dina Katabi",,,2007,
4887,Trading Structure for Randomness in Wireless Opportunistic Routing,"Szymon Chachulski, Dina Katabi, Szymon Chachulski",,,2007,
4888,Trading Structure for Randomness in Wireless Opportunistic Routing,"Szymon Chachulski, Michael Jennings, Sachin Katti, Dina Katabi",,,,
4889,Trading structure for randomness in wireless opportunistic routing.,"Szymon Chachulski, Michael Jennings, Sachin Katti, Dina Katabi",,,2007,inproceedings
4890,A comparative study of the robustness of two pose estimation techniques.,Claus B. Madsen,Mach. Vis. Appl.,,1997,article
4891,A Comparative Study of the Robustness of Two Pose Estimation Techniques,Claus B. Madsen,,,,
4892,A Comparative Study of the Robustness of Two Pose Estimation Techniques,Claus B. Madsen,,,,
4893,Antenna Pointing for High Bandwidth Communications from Mobile Robots.,"Deepak Bapna, Eric Rollins, Alex Foessel, William Whittaker",,,1998,inproceedings
4894,Antenna Pointing for High Bandwidth Communications from Mobile Robots,"Deepak Bapna, Eric Rollins, Alex Foessel, Red Whittaker",,,,
4895,Antenna Pointing for High Bandwidth Communications from Mobile Robots,"Deepak Bapna, Eric Rollins, Alex Foessel, Red Whittaker",,,,
4896,Reconstructing a textured CAD model of an urban environment using vehicle-borne laser range scanners and line cameras.,"Huijing Zhao, Ryosuke Shibasaki",Mach. Vis. Appl.,,2003,article
4897,Reconstructing Textured CAD Model of Urban Environment Using Vehicle-Borne Laser Range Scanners and Line Cameras,"Huijing Zhao, Ryosuke Shibasaki",,,,
4898,Reconstructing Textured CAD Model of Urban Environment Using Vehicle-Borne Laser Range Scanners and Line Cameras.,"Huijing Zhao, Ryosuke Shibasaki",,,2001,inproceedings
4899,Emotional Architecture for the Humanoid Robot Head ROMAN.,"Jochen Hirth, Norbert Schmitz, Karsten Berns",,,2007,inproceedings
4900,Emotional Architecture for the Humanoid Robot Head ROMAN,"Jochen Hirth, Norbert Schmitz, Karsten Berns",,,,
4901,Emotional Architecture for the Humanoid Robot Head ROMAN,"Jochen Hirth, Norbert Schmitz, Karsten Berns",,,,
4902,The Open Verifier Framework for Foundational Verifiers  ABSTRACT,"Bor-yuh Evan, Chang Adam Chlipala, George C. Necula, Robert R. Schneck",,,,
4903,The open verifier framework for foundational verifiers.,"Bor-Yuh Evan Chang, Adam Chlipala, George C. Necula, Robert R. Schneck",,,2005,inproceedings
4904,The Open Verifier Framework for Foundational Verifiers  ABSTRACT,"Bor-yuh Evan, Chang Adam Chlipala, George C. Necula, Robert R. Schneck",,,,
4905,The Open Verifier Framework for Foundational Verifiers  ABSTRACT,"Bor-yuh Evan, Chang Adam Chlipala, George C. Necula, Robert R. Schneck",,,,
4906,The Open Verifier Framework for Foundational Verifiers  ABSTRACT,"Bor-yuh Evan, Chang Adam Chlipala, George C. Necula, Robert R. Schneck",,,,
4907,Speculative Execution in a Distributed File System,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,,
4908,ABSTRACT Speculative Execution in a Distributed File System,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,,
4909,Speculative execution in a distributed file system.,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,2005,inproceedings
4910,ABSTRACT Speculative Execution in a Distributed File System,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,,
4911,Speculative Execution in a Distributed File System,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,,
4912,ABSTRACT Speculative Execution in a Distributed File System,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,,
4913,Speculative Execution in a Distributed File System,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",,,,
4914,Speculative execution in a distributed file system.,"Edmund B. Nightingale, Peter M. Chen, Jason Flinn",ACM Trans. Comput. Syst.,,2006,article
4915,Software Environments For Cluster-based Display Systems,"Yuqun Chen, Han Chen, Douglas W. Clark, Zhiyan Liu, Grant Wallace, Kai Li",,,,
4916,Software Environments For Cluster-Based Display Systems.,"Han Chen, Douglas W. Clark, Zhiyan Liu, Grant Wallace, Kai Li, Yuqun Chen",,,2001,inproceedings
4917,Abstract Software Environments For Cluster-based Display Systems,"Yuqun Chen, Han Chen, Douglas W. Clark, Zhiyan Liu, Grant Wallace, Kai Li",,,,
4918,Type and Effect Systems,"Flemming Nielson, Hanne Riis Nielson",,,,
4919,Type and Effect Systems.,"Flemming Nielson, Hanne Riis Nielson",,,1999,inproceedings
4920,Type and Effect Systems,"Flemming Nielson, Hanne Riis Nielson",,,,
4921,Screw-based motion planning for bevel-tip flexible needles in 3D environments with obstacles.,"Vincent Duindam, Ron Alterovitz, Shankar Sastry, Kenneth Y. Goldberg",,,2008,inproceedings
4922,Screw-Based Motion Planning for Bevel-Tip Flexible Needles in 3D Environments with Obstacles,"Vincent Duindam, Ron Alterovitz, Shankar Sastry, Ken Goldberg",,,,
4923,Screw-Based Motion Planning for Bevel-Tip Flexible Needles in 3D Environments with Obstacles,"Vincent Duindam, Ron Alterovitz, Shankar Sastry, Ken Goldberg",,,,
4924,Quadruped Robot Obstacle Negotiation via Reinforcement Learning.,"Honglak Lee, Yirong Shen, Chih-Han Yu, Gurjeet Singh, Andrew Y. Ng",,,2006,inproceedings
4925,Quadruped Robot Obstacle Negotiation via Reinforcement Learning,"Honglak Lee, Yirong Shen, Chih-han Yu, Gurjeet Singh, Andrew Y. Ng",,,,
4926,Quadruped Robot Obstacle Negotiation via Reinforcement Learning,"Honglak Lee, Yirong Shen, Chih-han Yu, Gurjeet Singh, Andrew Y. Ng",,,,
4927,Frame-level temporal calibration of video sequences from unsynchronized cameras.,"Senem Velipasalar, Wayne Wolf",Mach. Vis. Appl.,,2008,article
4928,Frame-level temporal calibration of video sequences from unsynchronized cameras by using projective invariants.,"Senem Velipasalar, Wayne Wolf",,,2005,inproceedings
4929,Frame-level Temporal Calibration of Video Sequences from Unsynchronized Cameras by Using Projective Invariants,"Senem Velipasalar, Wayne Wolf",,,,
4930,Introducing service differentiation into IEEE 802.11,"Imad Aad, Claude Castelluccia",,,,
4931,Introducing Service Differentiation into IEEE 802.11.,"Imad Aad, Claude Castelluccia",,,2000,inproceedings
4932,Introducing service differentiation into IEEE 802.11,"Imad Aad, Claude Castelluccia",,,,
4933,ABSTRACT Accurate Garbage Collection in an Uncooperative Environment,Fergus Henderson,,,,
4934,Accurate garbage collection in an uncooperative environment.,Fergus Henderson,,,2002,inproceedings
4935,Accurate Garbage Collection in an Uncooperative Environment,Fergus Henderson,,,,
4936,Vision-based Control Laws for Distributed Flocking of Nonholonomic Agents.,"Nima Moshtagh, Ali Jadbabaie, Kostas Daniilidis",,,2006,inproceedings
4937,Vision-based Control Laws for Distributed Flocking of Nonholonomic Agents,"Nima Moshtagh, Ali Jadbabaie, Kostas Daniilidis",,,,
4938,Vision-based Control Laws for Distributed Flocking of Nonholonomic Agents,"Nima Moshtagh, Ali Jadbabaie, Kostas Daniilidis",,,,
4939,Fault tolerant networks with small degree,Li Zhang,,,2000,
4940,Fault tolerant networks with small degree.,Li Zhang,,,2000,inproceedings
4941,Fault tolerant networks with small degree,Li Zhang,,,,
4942,MAPRM: A Probabilistic Roadmap Planner with Sampling on the Medial Axis of the Free Space.,"Steven A. Wilmarth, Nancy M. Amato, Peter F. Stiller",,,1999,inproceedings
4943,MAPRM: A Probabilistic Roadmap Planner with Sampling on the Medial Axis of the Free Space,"Steven A. Wilmarth, Nancy M. Amato, Peter F. Stiller",,,,
4944,MAPRM: A Probabilistic Roadmap Planner with Sampling on the Medial Axis of the Free Space,"Steven A. Wilmarth, Nancy M. Amato, Peter F. Stiller",,,,
4945,Building Self-configuring Services Using Service-specific Knowledge,"An-cheng Huang, David Garlan, Srinivasan Seshan",,,2004,
4946,Building Self-adapting Services Using Service-specific Knowledge,"An-cheng Huang, Peter Steenkiste",,,,
4947,Building Self-configuring Services Using Service-specific Knowledge,"An-cheng Huang, Peter Steenkiste",,,,
4948,Building Self-configuring Services Using Service-specific Knowledge,"An-cheng Huang, David Garlan, Srinivasan Seshan",,,2004,
4949,Building Self-Configuring Services Using Service-Specific Knowledge.,"An-Cheng Huang, Peter Steenkiste",,,2004,inproceedings
4950,Building self-adapting services using service-specific knowledge.,"An-Cheng Huang, Peter Steenkiste",,,2005,inproceedings
4951,Secure Identification and QKD in the Bounded-Quantum-Storage Model,"Ivan B. Damgard, Serge Fehr, Louis Salvail, Christian Schaffner",,,,
4952,Secure Identification and QKD in the Bounded-Quantum-Storage Model.,"Ivan Damgrd, Serge Fehr, Louis Salvail, Christian Schaffner",,,2007,inproceedings
4953,Secure Identification and QKD in the Bounded-Quantum-Storage Model ,"Ivan B. Damgard, Serge Fehr, Louis Salvail, Christian Schaffner",,,,
4954,Secure Identification and QKD in the Bounded-Quantum-Storage Model ,"Ivan B. Damgard, Serge Fehr, Louis Salvail, Christian Schaffner",,,708,
4955,Secure Identification and QKD in the Bounded-Quantum-Storage Model.,"Ivan Damgrd, Serge Fehr, Louis Salvail, Christian Schaffner",IACR Cryptology ePrint Archive,,2007,article
4956,MAINTAINING STREAM STATISTICS OVER SLIDING WINDOWS ,"Mayur Datar, Aristides Gionis, Piotr Indyk, Rajeev Motwani",,,,
4957,Maintaining Stream Statistics over Sliding Windows.,"Mayur Datar, Aristides Gionis, Piotr Indyk, Rajeev Motwani",SIAM J. Comput.,,2002,article
4958,Maintaining stream statistics over sliding windows (extended abstract).,"Mayur Datar, Aristides Gionis, Piotr Indyk, Rajeev Motwani",,,2002,inproceedings
4959,MAINTAINING STREAM STATISTICS OVER SLIDING WINDOWS ,"Mayur Datar, Aristides Gionis, Piotr Indyk, Rajeev Motwani",,,,
4960,Robust Vision-Based Pose Control.,"Camillo J. Taylor, James P. Ostrowski",,,2000,inproceedings
4961,Robust Vision-based Pose Control,"Camillo J. Taylor, James P. Ostrowski",,,,
